id,week_id,training_id,plan_loading,loading
1811647,319,117532,2,0
1811648,320,117532,4,0
1811649,321,117532,2,0
1811650,322,117532,4,0
1811651,323,117532,2,0
1811652,324,117532,4,0
1811653,325,117532,2,0
1811654,326,117532,2,0
1811655,327,117532,2,0
1811656,328,117532,2,0
1811657,329,117532,2,0
1811658,330,117532,0,0
1811659,331,117532,0,0
1811660,332,117532,0,0
1811661,313,117534,2,0
1811662,314,117534,0,0
1811663,315,117534,2,0
1811664,316,117534,0,0
1811665,317,117534,2,0
1811666,318,117534,0,0
1811667,319,117534,2,0
1811668,320,117534,0,0
1811669,321,117534,2,0
1811670,322,117534,0,0
1811671,323,117534,2,0
1811672,324,117534,0,0
1811673,325,117534,2,0
1811674,326,117534,0,0
1811675,327,117534,2,0
1811676,328,117534,0,0
1811677,329,117534,2,0
1811678,330,117534,0,0
